"","sex","age","year","population","citizenship"
"340","Maschi",42,2022,327219,"italiani"
"341","Maschi",42,2023,316505,"italiani"
"342","Maschi",42,2024,309890,"italiani"
"343","Maschi",42,2025,308797,"italiani"
"344","Maschi",42,2026,300922,"italiani"
"345","Maschi",43,2019,403560,"italiani"
"346","Maschi",43,2020,381760,"italiani"
"347","Maschi",43,2021,359918,"italiani"
"348","Maschi",43,2022,348457,"italiani"
"349","Maschi",43,2023,329059,"italiani"
"350","Maschi",43,2024,318141,"italiani"
"351","Maschi",43,2025,311532,"italiani"
"352","Maschi",43,2026,309935,"italiani"
"353","Maschi",44,2019,424722,"italiani"
"354","Maschi",44,2020,403526,"italiani"
"355","Maschi",44,2021,379702,"italiani"
"356","Maschi",44,2022,362563,"italiani"
"357","Maschi",44,2023,350313,"italiani"
"358","Maschi",44,2024,330686,"italiani"
"359","Maschi",44,2025,319948,"italiani"
"360","Maschi",44,2026,312840,"italiani"
"361","Maschi",45,2019,424865,"italiani"
"362","Maschi",45,2020,424647,"italiani"
"363","Maschi",45,2021,401460,"italiani"
"364","Maschi",45,2022,382561,"italiani"
"365","Maschi",45,2023,364306,"italiani"
"366","Maschi",45,2024,351974,"italiani"
"367","Maschi",45,2025,332165,"italiani"
"368","Maschi",45,2026,321036,"italiani"
"369","Maschi",46,2019,430344,"italiani"
"370","Maschi",46,2020,424620,"italiani"
"371","Maschi",46,2021,422338,"italiani"
"372","Maschi",46,2022,404393,"italiani"
"373","Maschi",46,2023,384067,"italiani"
"374","Maschi",46,2024,365801,"italiani"
"375","Maschi",46,2025,353440,"italiani"
"376","Maschi",46,2026,333057,"italiani"
"377","Maschi",47,2019,436518,"italiani"
"378","Maschi",47,2020,430225,"italiani"
"379","Maschi",47,2021,422132,"italiani"
"380","Maschi",47,2022,425108,"italiani"
"381","Maschi",47,2023,405712,"italiani"
"382","Maschi",47,2024,385266,"italiani"
"383","Maschi",47,2025,367042,"italiani"
"384","Maschi",47,2026,354196,"italiani"
"385","Maschi",48,2019,432452,"italiani"
"386","Maschi",48,2020,436157,"italiani"
"387","Maschi",48,2021,427628,"italiani"
"388","Maschi",48,2022,424968,"italiani"
"389","Maschi",48,2023,426390,"italiani"
"390","Maschi",48,2024,406674,"italiani"
"391","Maschi",48,2025,386334,"italiani"
"392","Maschi",48,2026,367692,"italiani"
"393","Maschi",49,2019,446069,"italiani"
"394","Maschi",49,2020,432005,"italiani"
"395","Maschi",49,2021,433450,"italiani"
"396","Maschi",49,2022,430445,"italiani"
"397","Maschi",49,2023,425980,"italiani"
"398","Maschi",49,2024,427134,"italiani"
"399","Maschi",49,2025,407493,"italiani"
"400","Maschi",49,2026,386910,"italiani"
"401","Maschi",50,2019,442474,"italiani"
"402","Maschi",50,2020,445548,"italiani"
"403","Maschi",50,2021,429043,"italiani"
"404","Maschi",50,2022,436201,"italiani"
"405","Maschi",50,2023,431164,"italiani"
"406","Maschi",50,2024,426529,"italiani"
"407","Maschi",50,2025,427676,"italiani"
"408","Maschi",50,2026,407757,"italiani"
"409","Maschi",51,2019,446408,"italiani"
"410","Maschi",51,2020,441752,"italiani"
"411","Maschi",51,2021,442368,"italiani"
"412","Maschi",51,2022,431764,"italiani"
"413","Maschi",51,2023,436656,"italiani"
"414","Maschi",51,2024,431514,"italiani"
"415","Maschi",51,2025,426946,"italiani"
"416","Maschi",51,2026,427663,"italiani"
"417","Maschi",52,2019,457280,"italiani"
"418","Maschi",52,2020,445603,"italiani"
"419","Maschi",52,2021,438347,"italiani"
"420","Maschi",52,2022,444971,"italiani"
"421","Maschi",52,2023,432068,"italiani"
"422","Maschi",52,2024,436825,"italiani"
"423","Maschi",52,2025,431607,"italiani"
"424","Maschi",52,2026,426716,"italiani"
"425","Maschi",53,2019,456899,"italiani"
"426","Maschi",53,2020,456128,"italiani"
"427","Maschi",53,2021,442331,"italiani"
"428","Maschi",53,2022,440859,"italiani"
"429","Maschi",53,2023,444988,"italiani"
"430","Maschi",53,2024,432120,"italiani"
"431","Maschi",53,2025,436724,"italiani"
"432","Maschi",53,2026,431313,"italiani"
"433","Maschi",54,2019,463584,"italiani"
"434","Maschi",54,2020,455762,"italiani"
"435","Maschi",54,2021,452019,"italiani"
"436","Maschi",54,2022,444615,"italiani"
"437","Maschi",54,2023,440937,"italiani"
"438","Maschi",54,2024,444748,"italiani"
"439","Maschi",54,2025,431833,"italiani"
"440","Maschi",54,2026,436175,"italiani"
"441","Maschi",55,2019,432405,"italiani"
"442","Maschi",55,2020,462447,"italiani"
"443","Maschi",55,2021,451525,"italiani"
"444","Maschi",55,2022,454463,"italiani"
"445","Maschi",55,2023,444241,"italiani"
"446","Maschi",55,2024,440324,"italiani"
"447","Maschi",55,2025,444194,"italiani"
"448","Maschi",55,2026,431037,"italiani"
"449","Maschi",56,2019,416548,"italiani"
"450","Maschi",56,2020,431012,"italiani"
"451","Maschi",56,2021,457897,"italiani"
"452","Maschi",56,2022,453659,"italiani"
"453","Maschi",56,2023,453759,"italiani"
"454","Maschi",56,2024,443599,"italiani"
"455","Maschi",56,2025,439528,"italiani"
"456","Maschi",56,2026,443249,"italiani"
