"","year","age","median","source","low90","high90"
"2646",2052,19,"408.24149999999997","UN","408.24149999999997","526.40150000000006"
"2647",2052,20,"420.137","UN","420.137","538.67499999999995"
"2648",2052,21,"432.87049999999999","UN","432.87049999999999","552.0095"
"2649",2052,22,"444.73649999999998","UN","444.73649999999998","564.64049999999997"
"2650",2052,23,"454.53300000000002","UN","454.53300000000002","552.61950000000002"
"2651",2052,24,"461.3895","UN","461.3895","537.63400000000001"
"2652",2052,25,"465.22199999999998","UN","465.22199999999998","542.28750000000002"
"2653",2052,26,"467.81950000000001","UN","467.81950000000001","545.77300000000002"
"2654",2052,27,"469.71199999999999","UN","469.71199999999999","548.60400000000004"
"2655",2052,28,"469.45600000000002","UN","469.45600000000002","509.13850000000002"
"2656",2052,29,"475.65899999999999","UN","475.65899999999999","475.65899999999999"
"2657",2052,30,"485.14749999999998","UN","485.14749999999998","485.14749999999998"
"2658",2052,31,"486.20049999999998","UN","486.20049999999998","486.20049999999998"
"2659",2052,32,"487.834","UN","487.834","487.834"
"2660",2052,33,"499.68349999999998","UN","499.68349999999998","499.68349999999998"
"2661",2052,34,"517.40750000000003","UN","517.40750000000003","517.40750000000003"
"2662",2052,35,"532.45050000000003","UN","532.45050000000003","532.45050000000003"
"2663",2052,36,"541.31949999999995","UN","541.31949999999995","541.31949999999995"
"2664",2052,37,"550.05399999999997","UN","550.05399999999997","550.05399999999997"
"2665",2052,38,"558.5145","UN","558.5145","558.5145"
"2666",2052,39,"571.09749999999997","UN","571.09749999999997","571.09749999999997"
"2667",2052,40,"584.66049999999996","UN","584.66049999999996","584.66049999999996"
"2668",2052,41,"595.57050000000004","UN","595.57050000000004","595.57050000000004"
"2669",2052,42,"606.93550000000005","UN","606.93550000000005","606.93550000000005"
"2670",2052,43,"614.01199999999994","UN","614.01199999999994","614.01199999999994"
"2671",2052,44,"616.2165","UN","616.2165","616.2165"
"2672",2052,45,"614.40150000000006","UN","614.40150000000006","614.40150000000006"
"2673",2052,46,"608.98599999999999","UN","608.98599999999999","608.98599999999999"
"2674",2052,47,"602.88199999999995","UN","602.88199999999995","602.88199999999995"
"2675",2052,48,"593.34","UN","593.34","593.34"
"2676",2052,49,"577.66549999999995","UN","577.66549999999995","577.66549999999995"
"2677",2052,50,"569.101","UN","569.101","569.101"
"2678",2052,51,"571.80250000000001","UN","571.80250000000001","571.80250000000001"
"2679",2052,52,"571.77700000000004","UN","571.77700000000004","571.77700000000004"
"2680",2052,53,"569.9855","UN","569.9855","569.9855"
"2681",2052,54,"568.74749999999995","UN","568.74749999999995","568.74749999999995"
"2682",2052,55,"567.63049999999998","UN","567.63049999999998","567.63049999999998"
"2683",2052,56,"569.827","UN","569.827","569.827"
"2684",2052,57,"573.048","UN","573.048","573.048"
"2685",2052,58,"581.95450000000005","UN","581.95450000000005","581.95450000000005"
"2686",2052,59,"605.09550000000002","UN","605.09550000000002","605.09550000000002"
"2687",2052,60,"623.01149999999996","UN","623.01149999999996","623.01149999999996"
"2688",2052,61,"631.36649999999997","UN","631.36649999999997","631.36649999999997"
"2689",2052,62,"634.64949999999999","UN","634.64949999999999","634.64949999999999"
"2690",2052,63,"640.15150000000006","UN","640.15150000000006","640.15150000000006"
"2691",2052,64,"624.95249999999999","UN","624.95249999999999","624.95249999999999"
"2692",2052,65,"609.38599999999997","UN","609.38599999999997","609.38599999999997"
"2693",2052,66,"621.19349999999997","UN","621.19349999999997","621.19349999999997"
"2694",2052,67,"632.83349999999996","UN","632.83349999999996","632.83349999999996"
"2695",2052,68,"646.23199999999997","UN","646.23199999999997","646.23199999999997"
"2696",2052,69,"661.322","UN","661.322","661.322"
"2697",2052,70,"679.93700000000001","UN","679.93700000000001","679.93700000000001"
"2698",2052,71,"687.822","UN","687.822","687.822"
"2699",2052,72,"694.60350000000005","UN","694.60350000000005","694.60350000000005"
"2700",2052,73,"711.75149999999996","UN","711.75149999999996","711.75149999999996"
"2701",2052,74,"733.22850000000005","UN","733.22850000000005","733.22850000000005"
"2702",2052,75,"754.66849999999999","UN","754.66849999999999","754.66849999999999"
"2703",2052,76,"775.28549999999996","UN","775.28549999999996","775.28549999999996"
"2704",2052,77,"790.12900000000002","UN","790.12900000000002","790.12900000000002"
"2705",2052,78,"788.83450000000005","UN","788.83450000000005","788.83450000000005"
"2706",2052,79,"778.47249999999997","UN","778.47249999999997","778.47249999999997"
"2707",2052,80,"768.94849999999997","UN","768.94849999999997","768.94849999999997"
"2708",2052,81,"751.17949999999996","UN","751.17949999999996","751.17949999999996"
"2709",2052,82,"725.05349999999999","UN","725.05349999999999","725.05349999999999"
"2710",2052,83,"707.35","UN","707.35","707.35"
"2711",2052,84,"682.35299999999995","UN","682.35299999999995","682.35299999999995"
"2712",2052,85,"644.28","UN","644.28","644.28"
"2713",2052,86,"611.25099999999998","UN","611.25099999999998","611.25099999999998"
"2714",2052,87,"568.08349999999996","UN","568.08349999999996","568.08349999999996"
"2715",2052,88,"509.87700000000001","UN","509.87700000000001","509.87700000000001"
"2716",2052,89,"448.4325","UN","448.4325","448.4325"
"2717",2052,90,"383.59300000000002","UN","383.59300000000002","383.59300000000002"
"2718",2052,91,"328.32600000000002","UN","328.32600000000002","328.32600000000002"
"2719",2052,92,"277.06950000000001","UN","277.06950000000001","277.06950000000001"
"2720",2052,93,"223.45599999999999","UN","223.45599999999999","223.45599999999999"
"2721",2052,94,"175.6405","UN","175.6405","175.6405"
"2722",2052,95,"137.68799999999999","UN","137.68799999999999","137.68799999999999"
"2723",2052,96,"106.31100000000001","UN","106.31100000000001","106.31100000000001"
"2724",2052,97,"76.748500000000007","UN","76.748500000000007","76.748500000000007"
"2725",2052,98,"53.606000000000002","UN","53.606000000000002","53.606000000000002"
"2726",2052,99,"36.356000000000002","UN","36.356000000000002","36.356000000000002"
"2727",2052,100,"61.188499999999998","UN","61.188499999999998","61.188499999999998"
"2728",2053,0,"329.173","UN","329.173","471.4665"
"2729",2053,1,"335.76350000000002","UN","335.76350000000002","475.57799999999997"
"2730",2053,2,"342.072","UN","342.072","480.3725"
"2731",2053,3,"348.48450000000003","UN","348.48450000000003","486.12700000000001"
"2732",2053,4,"355.06099999999998","UN","355.06099999999998","492.70650000000001"
"2733",2053,5,"361.18650000000002","UN","361.18650000000002","499.34550000000002"
"2734",2053,6,"366.91800000000001","UN","366.91800000000001","505.9325"
"2735",2053,7,"372.6825","UN","372.6825","512.774"
"2736",2053,8,"377.82100000000003","UN","377.82100000000003","519.12099999999998"
"2737",2053,9,"382.03300000000002","UN","382.03300000000002","524.60699999999997"
"2738",2053,10,"385.28500000000003","UN","385.28500000000003","529.09400000000005"
"2739",2053,11,"387.73349999999999","UN","387.73349999999999","532.61"
"2740",2053,12,"389.69349999999997","UN","389.69349999999997","535.46500000000003"
"2741",2053,13,"391.00349999999997","UN","391.00349999999997","537.49800000000005"
"2742",2053,14,"391.67450000000002","UN","391.67450000000002","538.65800000000002"
"2743",2053,15,"391.79849999999999","UN","391.79849999999999","539.04499999999996"
"2744",2053,16,"392.37400000000002","UN","392.37400000000002","539.71849999999995"
"2745",2053,17,"394.74900000000002","UN","394.74900000000002","542.10699999999997"
"2746",2053,18,"400.3075","UN","400.3075","547.68849999999998"
"2747",2053,19,"409.16149999999999","UN","409.16149999999999","541.86950000000002"
"2748",2053,20,"420.4425","UN","420.4425","538.58749999999998"
"2749",2053,21,"432.71800000000002","UN","432.71800000000002","551.24"
"2750",2053,22,"443.93650000000002","UN","443.93650000000002","563.05899999999997"
"2751",2053,23,"452.9425","UN","452.9425","572.82950000000005"
"2752",2053,24,"459.47399999999999","UN","459.47399999999999","557.54650000000004"
"2753",2053,25,"463.42700000000002","UN","463.42700000000002","539.66"
"2754",2053,26,"465.07","UN","465.07","542.12300000000005"
