citizenship,year,tfr_mean,tfr_p10,tfr_p50,tfr_p90,arima_order
stranieri,2065,0.41743985754372054,0.05,0.27576536456753764,1.0542514611011706,"(2, 1, 0)"
stranieri,2066,0.40318598621010104,0.05,0.2382856719315281,1.0055337445823644,"(2, 1, 0)"
stranieri,2067,0.38763135151009237,0.05,0.21132359535715323,1.021916552214719,"(2, 1, 0)"
stranieri,2068,0.35868016717591894,0.05,0.16349336906428968,0.9643955767806791,"(2, 1, 0)"
stranieri,2069,0.33905738268684127,0.05,0.12237774564675924,0.9208727255916,"(2, 1, 0)"
stranieri,2070,0.3276100509414008,0.05,0.11397521019065816,0.8992099528233737,"(2, 1, 0)"
stranieri,2071,0.309817489465087,0.05,0.05270795390911271,0.8970425271898066,"(2, 1, 0)"
stranieri,2072,0.29104911289861946,0.05,0.05,0.8411893056136502,"(2, 1, 0)"
stranieri,2073,0.2828084891134124,0.05,0.05,0.8437020130468019,"(2, 1, 0)"
stranieri,2074,0.25620630754287993,0.05,0.05,0.759353410942621,"(2, 1, 0)"
stranieri,2075,0.25093650094744485,0.05,0.05,0.7484067480234381,"(2, 1, 0)"
