year,age_mother,citizenship,asfr
2068,39,stranieri,7.1997249903070974
2068,40,stranieri,5.711672270259807
2068,41,stranieri,4.129726638422171
2068,42,stranieri,2.807977687714862
2068,43,stranieri,1.818104553302389
2068,44,stranieri,1.0594001572446514
2068,45,stranieri,0.6192040590858374
2068,46,stranieri,0.3556490899362236
2068,47,stranieri,0.2083997644870377
2068,48,stranieri,0.13550207395349131
2068,49,stranieri,0.09684199299145235
2068,50,stranieri,0.19290086955076183
2069,14,stranieri,0.010205829226267801
2069,15,stranieri,0.03447063792635963
2069,16,stranieri,0.3508172432658357
2069,17,stranieri,0.8848916353759808
2069,18,stranieri,2.204765504724326
2069,19,stranieri,5.477558148972849
2069,20,stranieri,9.243010938991837
2069,21,stranieri,12.383619579013684
2069,22,stranieri,15.178723479039755
2069,23,stranieri,17.665384981594748
2069,24,stranieri,19.703510659131556
2069,25,stranieri,20.91797597499516
2069,26,stranieri,21.641128788310198
2069,27,stranieri,21.65701150802921
2069,28,stranieri,21.564335907921226
2069,29,stranieri,20.461918459012242
2069,30,stranieri,19.55796432575098
2069,31,stranieri,18.570101856173476
2069,32,stranieri,16.81726503529411
2069,33,stranieri,15.449289990589216
2069,34,stranieri,14.193329800031561
2069,35,stranieri,12.703599268279762
2069,36,stranieri,11.37130322861327
2069,37,stranieri,9.799882901988708
2069,38,stranieri,8.211545191542372
2069,39,stranieri,6.805840229469091
2069,40,stranieri,5.399196353584495
2069,41,stranieri,3.9037962880975154
2069,42,stranieri,2.6543579839826994
2069,43,stranieri,1.7186391323147665
2069,44,stranieri,1.0014421688312278
2069,45,stranieri,0.5853284536910062
2069,46,stranieri,0.3361921305495278
2069,47,stranieri,0.19699856631569304
2069,48,stranieri,0.12808898497244284
2069,49,stranieri,0.09154393156551348
2069,50,stranieri,0.18234758967260853
2070,14,stranieri,0.009861257720510897
2070,15,stranieri,0.03330683248229869
2070,16,stranieri,0.33897287245797725
2070,17,stranieri,0.8550157246123149
2070,18,stranieri,2.1303277150101474
2070,19,stranieri,5.2926235966285144
2070,20,stranieri,8.930946321177275
2070,21,stranieri,11.965521024701323
2070,22,stranieri,14.666255997105118
2070,23,stranieri,17.068962273754725
2070,24,stranieri,19.038276292967566
2070,25,stranieri,20.21173855721244
2070,26,stranieri,20.910476122314723
2070,27,stranieri,20.925822606072135
2070,28,stranieri,20.836275940455227
2070,29,stranieri,19.771078557835963
2070,30,stranieri,18.89764392768684
2070,31,stranieri,17.94313389337711
2070,32,stranieri,16.249476744166362
2070,33,stranieri,14.927687581131782
2070,34,stranieri,13.714131401501268
2070,35,stranieri,12.274697487605522
2070,36,stranieri,10.987382727002595
2070,37,stranieri,9.469017047493665
2070,38,stranieri,7.934305152687114
2070,39,stranieri,6.576059918255059
2070,40,stranieri,5.216907469831329
