"","sex","age","year","population","citizenship"
"86","Maschi",10,2024,30867,"stranieri"
"87","Maschi",10,2025,31228,"stranieri"
"88","Maschi",10,2026,32065,"stranieri"
"89","Maschi",11,2019,27409,"stranieri"
"90","Maschi",11,2020,28533,"stranieri"
"91","Maschi",11,2021,29480,"stranieri"
"92","Maschi",11,2022,29875,"stranieri"
"93","Maschi",11,2023,29700,"stranieri"
"94","Maschi",11,2024,31302,"stranieri"
"95","Maschi",11,2025,30368,"stranieri"
"96","Maschi",11,2026,31998,"stranieri"
"97","Maschi",12,2019,26247,"stranieri"
"98","Maschi",12,2020,27205,"stranieri"
"99","Maschi",12,2021,28446,"stranieri"
"100","Maschi",12,2022,29204,"stranieri"
"101","Maschi",12,2023,29142,"stranieri"
"102","Maschi",12,2024,29420,"stranieri"
"103","Maschi",12,2025,30971,"stranieri"
"104","Maschi",12,2026,31289,"stranieri"
"105","Maschi",13,2019,24445,"stranieri"
"106","Maschi",13,2020,26209,"stranieri"
"107","Maschi",13,2021,27393,"stranieri"
"108","Maschi",13,2022,28298,"stranieri"
"109","Maschi",13,2023,28576,"stranieri"
"110","Maschi",13,2024,29092,"stranieri"
"111","Maschi",13,2025,29299,"stranieri"
"112","Maschi",13,2026,32062,"stranieri"
"113","Maschi",14,2019,23554,"stranieri"
"114","Maschi",14,2020,24568,"stranieri"
"115","Maschi",14,2021,26508,"stranieri"
"116","Maschi",14,2022,27400,"stranieri"
"117","Maschi",14,2023,28020,"stranieri"
"118","Maschi",14,2024,28831,"stranieri"
"119","Maschi",14,2025,29204,"stranieri"
"120","Maschi",14,2026,30463,"stranieri"
"121","Maschi",15,2019,22096,"stranieri"
"122","Maschi",15,2020,23888,"stranieri"
"123","Maschi",15,2021,25257,"stranieri"
"124","Maschi",15,2022,26629,"stranieri"
"125","Maschi",15,2023,27156,"stranieri"
"126","Maschi",15,2024,28434,"stranieri"
"127","Maschi",15,2025,29296,"stranieri"
"128","Maschi",15,2026,30518,"stranieri"
"129","Maschi",16,2019,22550,"stranieri"
"130","Maschi",16,2020,22625,"stranieri"
"131","Maschi",16,2021,24644,"stranieri"
"132","Maschi",16,2022,25489,"stranieri"
"133","Maschi",16,2023,26947,"stranieri"
"134","Maschi",16,2024,28233,"stranieri"
"135","Maschi",16,2025,29739,"stranieri"
"136","Maschi",16,2026,31013,"stranieri"
"137","Maschi",17,2019,24220,"stranieri"
"138","Maschi",17,2020,23487,"stranieri"
"139","Maschi",17,2021,23681,"stranieri"
"140","Maschi",17,2022,25783,"stranieri"
"141","Maschi",17,2023,26892,"stranieri"
"142","Maschi",17,2024,29129,"stranieri"
"143","Maschi",17,2025,31601,"stranieri"
"144","Maschi",17,2026,31928,"stranieri"
"145","Maschi",18,2019,27545,"stranieri"
"146","Maschi",18,2020,23693,"stranieri"
"147","Maschi",18,2021,22414,"stranieri"
"148","Maschi",18,2022,22016,"stranieri"
"149","Maschi",18,2023,26224,"stranieri"
"150","Maschi",18,2024,26835,"stranieri"
"151","Maschi",18,2025,29956,"stranieri"
"152","Maschi",18,2026,34277,"stranieri"
"153","Maschi",19,2019,33681,"stranieri"
"154","Maschi",19,2020,28197,"stranieri"
"155","Maschi",19,2021,25603,"stranieri"
"156","Maschi",19,2022,22307,"stranieri"
"157","Maschi",19,2023,23741,"stranieri"
"158","Maschi",19,2024,29066,"stranieri"
"159","Maschi",19,2025,30382,"stranieri"
"160","Maschi",19,2026,33063,"stranieri"
"161","Maschi",20,2019,40047,"stranieri"
"162","Maschi",20,2020,34679,"stranieri"
"163","Maschi",20,2021,32498,"stranieri"
"164","Maschi",20,2022,25818,"stranieri"
"165","Maschi",20,2023,25515,"stranieri"
"166","Maschi",20,2024,28456,"stranieri"
"167","Maschi",20,2025,35153,"stranieri"
"168","Maschi",20,2026,33926,"stranieri"
"169","Maschi",21,2019,39578,"stranieri"
"170","Maschi",21,2020,39905,"stranieri"
"171","Maschi",21,2021,39409,"stranieri"
"172","Maschi",21,2022,31723,"stranieri"
"173","Maschi",21,2023,28703,"stranieri"
"174","Maschi",21,2024,29777,"stranieri"
"175","Maschi",21,2025,34063,"stranieri"
"176","Maschi",21,2026,38873,"stranieri"
"177","Maschi",22,2019,39297,"stranieri"
"178","Maschi",22,2020,39215,"stranieri"
"179","Maschi",22,2021,44880,"stranieri"
"180","Maschi",22,2022,37142,"stranieri"
"181","Maschi",22,2023,34336,"stranieri"
"182","Maschi",22,2024,32532,"stranieri"
"183","Maschi",22,2025,34995,"stranieri"
"184","Maschi",22,2026,38527,"stranieri"
"185","Maschi",23,2019,39063,"stranieri"
"186","Maschi",23,2020,39036,"stranieri"
"187","Maschi",23,2021,44050,"stranieri"
